NodeName,Lat,Long,Bin,Radio_CQI_Distribution,Number_of_Users
47,133.7007,-84.1807,14,48272.11161,322.6578712
48,133.7007,-84.1807,15,68466.05481,322.6578712
49,133.9635,-83.9755,0,1066.111125,275.7138901
50,133.9635,-83.9755,1,632.0555573,275.7138901
51,133.9635,-83.9755,2,3404.222229,275.7138901
52,133.9635,-83.9755,3,10640.61115,275.7138901
53,133.9635,-83.9755,4,30144.33407,275.7138901
54,133.9635,-83.9755,5,68646.94336,275.7138901
55,133.9635,-83.9755,6,99417.66536,275.7138901
56,133.9635,-83.9755,7,117864.6094,275.7138901
57,133.9635,-83.9755,8,139517.1081,275.7138901
58,133.9635,-83.9755,9,137800.4466,275.7138901
59,133.9635,-83.9755,10,114350.39,275.7138901
60,133.9635,-83.9755,11,104115.2227,275.7138901
61,133.9635,-83.9755,12,75638.77637,275.7138901
62,133.9635,-83.9755,13,47514.05534,275.7138901
63,133.9635,-83.9755,14,27499.4445,275.7138901
64,133.9635,-83.9755,15,31846.88818,275.7138901
65,133.48361,-84.215,0,2486.777776,352.2254543
66,133.48361,-84.215,1,1085.333313,352.2254543
67,133.48361,-84.215,2,6080.166697,352.2254543
68,133.48361,-84.215,3,15328.61131,352.2254543
69,133.48361,-84.215,4,40885.38953,352.2254543
70,133.48361,-84.215,5,89309.72217,352.2254543
71,133.48361,-84.215,6,133180.5573,352.2254543
72,133.48361,-84.215,7,164761.1686,352.2254543
73,133.48361,-84.215,8,197508.4414,352.2254543
74,133.48361,-84.215,9,195972.5039,352.2254543
75,133.48361,-84.215,10,148982.6113,352.2254543
76,133.48361,-84.215,11,140053.724,352.2254543
77,133.48361,-84.215,12,96039.38835,352.2254543
78,133.48361,-84.215,13,54539.66764,352.2254543
79,133.48361,-84.215,14,30267.94425,352.2254543
80,133.48361,-84.215,15,26159.38835,352.2254543
81,134.044858,-84.474643,0,1545.444438,295.606945
82,134.044858,-84.474643,1,826.9999975,295.606945
83,134.044858,-84.474643,2,4557.555644,295.606945
84,134.044858,-84.474643,3,15348.05549,295.606945
85,134.044858,-84.474643,4,34912.72282,295.606945
86,134.044858,-84.474643,5,74473.16536,295.606945
87,134.044858,-84.474643,6,109406.2793,295.606945
88,134.044858,-84.474643,7,126720.3906,295.606945
89,134.044858,-84.474643,8,151658.2207,295.606945
90,134.044858,-84.474643,9,150216.6683,295.606945
91,134.044858,-84.474643,10,114279.277,295.606945
92,134.044858,-84.474643,11,106342.0579,295.606945
93,134.044858,-84.474643,12,82231.61239,295.606945
94,134.044858,-84.474643,13,52699.22095,295.606945
95,134.044858,-84.474643,14,31772.66561,295.606945
96,134.044858,-84.474643,15,36369.00087,295.606945
97,134.1087,-84.565722,0,1072.388875,432.9032459
98,134.1087,-84.565722,1,609.6666692,432.9032459
99,134.1087,-84.565722,2,3715.611115,432.9032459
100,134.1087,-84.565722,3,14552.00026,432.9032459
101,134.1087,-84.565722,4,51731.44393,432.9032459
102,134.1087,-84.565722,5,134993.6654,432.9032459
103,134.1087,-84.565722,6,214588.4447,432.9032459
104,134.1087,-84.565722,7,240120.2826,432.9032459
105,134.1087,-84.565722,8,264373.1081,432.9032459
106,134.1087,-84.565722,9,244094.4414,432.9032459
107,134.1087,-84.565722,10,175759.166,432.9032459
108,134.1087,-84.565722,11,146254.7243,432.9032459
109,134.1087,-84.565722,12,99830.38981,432.9032459
110,134.1087,-84.565722,13,57350.77767,432.9032459
111,134.1087,-84.565722,14,30551.16689,432.9032459
112,134.1087,-84.565722,15,29853.27729,432.9032459
113,134.0666453,-84.4548662,0,2070.083328,294.5546341
114,134.0666453,-84.4548662,1,1297.833344,294.5546341
115,134.0666453,-84.4548662,2,6380.499817,294.5546341
116,134.0666453,-84.4548662,3,18608.24969,294.5546341
117,134.0666453,-84.4548662,4,50732.49927,294.5546341
118,134.0666453,-84.4548662,5,104563.3325,294.5546341
